INFO  - 2014-04-29 23:10:06.468; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-04-29 23:10:06.470; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-04-29 23:10:06.471; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-04-29 23:10:06.472; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.473; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-04-29 23:10:06.474; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.475; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-04-29 23:10:06.479; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/dist/solr-clustering-4.8.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.482; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-04-29 23:10:06.483; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-04-29 23:10:06.486; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/dist/solr-langid-4.8.0.jar' to classloader
INFO  - 2014-04-29 23:10:06.489; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/lolz/Documents/solr-4.8.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
